datetime,open,high,low,close,volume,oi
2003-01-01 00:00:00+05:30,57.9,58.04,57.19,57.33,17587195,0
2003-01-02 00:00:00+05:30,57.53,57.53,56.33,56.5,14893003,0
2003-01-03 00:00:00+05:30,56.81,56.85,55.27,55.43,26984675,0
2003-01-06 00:00:00+05:30,55.37,55.53,54.7,54.82,18020042,0
2003-01-07 00:00:00+05:30,55.06,55.36,54.73,54.87,14080161,0
2003-01-08 00:00:00+05:30,54.93,56.0,54.89,55.62,13336026,0
2003-01-09 00:00:00+05:30,55.92,57.35,55.87,57.05,29640078,0
2003-01-10 00:00:00+05:30,57.52,57.56,56.21,57.18,22737834,0
2003-01-13 00:00:00+05:30,57.17,57.23,56.69,56.84,13712883,0
2003-01-14 00:00:00+05:30,56.38,56.79,56.11,56.69,14919049,0
2003-01-15 00:00:00+05:30,56.21,56.5,55.32,55.98,20604499,0
2003-01-16 00:00:00+05:30,55.98,56.39,55.51,56.1,12780701,0
2003-01-17 00:00:00+05:30,56.31,56.55,55.94,56.28,9812670,0
2003-01-20 00:00:00+05:30,56.32,56.59,55.58,55.8,7692109,0
2003-01-21 00:00:00+05:30,55.83,56.4,55.44,56.23,9676016,0
2003-01-22 00:00:00+05:30,56.31,57.27,56.08,56.99,20131418,0
2003-01-23 00:00:00+05:30,57.17,57.75,56.13,56.34,17058083,0
2003-01-24 00:00:00+05:30,56.48,56.48,54.14,54.41,21192301,0
2003-01-27 00:00:00+05:30,54.33,54.84,52.05,52.62,25352587,0
2003-01-28 00:00:00+05:30,52.04,53.84,51.84,53.64,27322483,0
2003-01-29 00:00:00+05:30,59.68,59.68,52.23,52.58,16118925,0
2003-01-30 00:00:00+05:30,52.58,53.11,51.33,51.67,26943013,0
2003-01-31 00:00:00+05:30,51.4,53.8,50.69,52.95,63894088,0
2003-02-03 00:00:00+05:30,54.29,54.38,53.24,54.16,21196784,0
2003-02-04 00:00:00+05:30,54.71,55.12,53.95,54.17,23265569,0
2003-02-05 00:00:00+05:30,53.84,54.67,53.45,54.39,17474992,0
2003-02-06 00:00:00+05:30,54.48,55.03,54.3,54.87,15406649,0
2003-02-07 00:00:00+05:30,54.96,55.21,53.4,54.04,20491392,0
2003-02-10 00:00:00+05:30,54.03,54.46,53.71,54.22,15163221,0
2003-02-11 00:00:00+05:30,54.32,54.64,53.96,54.37,12791408,0
2003-02-12 00:00:00+05:30,54.2,54.46,53.62,54.13,13676706,0
2003-02-14 00:00:00+05:30,54.23,54.84,53.94,54.69,19264675,0
2003-02-17 00:00:00+05:30,55.32,56.31,55.28,56.17,16435387,0
2003-02-18 00:00:00+05:30,56.4,56.56,55.59,55.76,12091777,0
2003-02-19 00:00:00+05:30,56.03,56.37,55.69,55.89,9660036,0
2003-02-20 00:00:00+05:30,55.83,56.0,55.26,55.61,8037906,0
2003-02-21 00:00:00+05:30,55.66,56.96,55.63,56.77,23468577,0
2003-02-24 00:00:00+05:30,57.2,58.47,57.2,58.27,49344519,0
2003-02-25 00:00:00+05:30,57.75,58.05,56.74,56.89,25781340,0
2003-02-26 00:00:00+05:30,57.11,57.35,56.11,56.33,20403766,0
2003-02-27 00:00:00+05:30,56.08,57.17,55.88,56.86,22092109,0
2003-02-28 00:00:00+05:30,57.17,58.29,56.32,56.74,38480192,0
2003-03-03 00:00:00+05:30,56.79,57.98,56.45,56.94,34122322,0
2003-03-04 00:00:00+05:30,56.61,57.12,56.02,56.25,13915922,0
2003-03-05 00:00:00+05:30,55.93,56.0,54.51,55.62,29686758,0
2003-03-06 00:00:00+05:30,55.45,55.56,54.72,54.93,12781060,0
2003-03-07 00:00:00+05:30,53.52,54.46,53.52,54.09,17471657,0
2003-03-10 00:00:00+05:30,54.07,54.21,52.85,53.31,20727481,0
2003-03-11 00:00:00+05:30,52.94,55.32,52.76,54.89,21396234,0
2003-03-12 00:00:00+05:30,54.86,55.03,53.24,53.57,13184364,0
2003-03-13 00:00:00+05:30,53.52,54.07,53.01,53.51,18583018,0
2003-03-17 00:00:00+05:30,53.52,54.07,52.99,53.81,20871647,0
2003-03-19 00:00:00+05:30,54.29,55.0,54.2,54.87,18308992,0
2003-03-20 00:00:00+05:30,53.9,56.96,53.9,56.47,26491143,0
2003-03-21 00:00:00+05:30,56.13,56.78,54.92,56.5,21267366,0
2003-03-22 00:00:00+05:30,57.17,57.92,56.41,56.68,5315522,0
2003-03-24 00:00:00+05:30,56.38,56.38,54.2,54.45,20665127,0
2003-03-25 00:00:00+05:30,53.71,55.19,53.35,55.0,18220821,0
2003-03-26 00:00:00+05:30,55.15,55.47,54.4,54.77,14500494,0
2003-03-27 00:00:00+05:30,54.46,54.6,53.75,54.0,12997169,0
2003-03-28 00:00:00+05:30,54.07,55.13,53.93,54.95,15851688,0
2003-03-31 00:00:00+05:30,54.11,54.44,53.05,53.53,17436306,0
